date,grid_id,HEM_daily
2023-06-01,0,32.46
2023-06-01,1,55.88
2023-06-01,2,19.16
2023-06-01,3,53.55
2023-06-01,4,75.42
2023-06-01,5,87.66
2023-06-01,6,12.83
2023-06-01,7,58.88
2023-06-01,8,98.41
2023-06-01,9,53.56
2023-06-01,10,1.44
2023-06-01,11,74.69
2023-06-01,12,10.9
2023-06-01,13,58.43
2023-06-01,14,64.02
2023-06-01,15,94.92
2023-06-01,16,80.09
2023-06-01,17,76.45
2023-06-01,18,2.59
2023-06-01,19,0.58
2023-06-01,20,23.76
2023-06-01,21,58.69
2023-06-01,22,7.82
2023-06-01,23,52.08
2023-06-01,24,91.07
2023-06-01,25,40.88
2023-06-01,26,36.53
2023-06-01,27,91.32
2023-06-01,28,68.3
2023-06-01,29,21.21
2023-06-01,30,93.26
2023-06-01,31,28.87
2023-06-01,32,7.53
2023-06-01,33,72.23
2023-06-01,34,99.41
2023-06-01,35,17.18
2023-06-01,36,98.04
2023-06-01,37,51.02
2023-06-01,38,64.49
2023-06-01,39,70.46
2023-06-01,40,16.21
2023-06-01,41,32.31
2023-06-01,42,78.36
2023-06-01,43,84.3
2023-06-01,44,41.08
2023-06-01,45,5.48
2023-06-01,46,86.7
2023-06-01,47,11.09
2023-06-01,48,60.66
2023-06-01,49,73.87
2023-06-01,50,62.2
2023-06-01,51,77.03
2023-06-01,52,35.77
2023-06-01,53,95.76
2023-06-01,54,97.19
2023-06-01,55,8.54
2023-06-01,56,31.73
2023-06-01,57,60.15
2023-06-01,58,56.65
2023-06-01,59,87.36
2023-06-01,60,92.9
2023-06-01,61,13.49
2023-06-01,62,55.22
2023-06-01,63,1.74
2023-06-01,64,33.27
2023-06-01,65,77.0
2023-06-01,66,88.53
2023-06-01,67,30.08
2023-06-01,68,5.16
2023-06-01,69,40.04
2023-06-01,70,26.73
2023-06-01,71,25.42
2023-06-01,72,69.78
2023-06-01,73,5.99
2023-06-01,74,11.56
2023-06-01,75,12.4
2023-06-01,76,28.82
2023-06-01,77,33.63
2023-06-01,78,72.92
2023-06-01,79,28.99
2023-06-01,80,60.89
2023-06-01,81,20.83
2023-06-01,82,11.21
2023-06-01,83,98.7
2023-06-01,84,27.63
2023-06-01,85,55.15
2023-06-01,86,49.54
2023-06-01,87,49.13
2023-06-01,88,14.74
2023-06-01,89,58.78
2023-06-01,90,54.26
2023-06-01,91,99.02
2023-06-01,92,36.14
2023-06-01,93,17.7
2023-06-01,94,54.17
2023-06-01,95,90.77
2023-06-01,96,49.75
2023-06-01,97,16.09
2023-06-01,98,22.8
2023-06-01,99,85.74
2023-06-01,100,64.86
2023-06-01,101,36.38
2023-06-01,102,85.27
2023-06-01,103,90.38
2023-06-01,104,67.37
2023-06-01,105,75.13
2023-06-01,106,50.88
2023-06-01,107,98.79
2023-06-01,108,37.74
2023-06-01,109,58.86
2023-06-01,110,0.46
2023-06-01,111,32.49
2023-06-01,112,97.98
2023-06-01,113,1.17
2023-06-01,114,37.31
2023-06-01,115,89.28
2023-06-01,116,17.15
2023-06-01,117,44.22
2023-06-01,118,73.12
2023-06-01,119,36.13
2023-06-01,120,6.87
2023-06-01,121,48.52
2023-06-01,122,88.75
2023-06-01,123,62.33
2023-06-01,124,54.35
2023-06-01,125,6.62
2023-06-01,126,29.84
2023-06-01,127,42.14
2023-06-01,128,34.69
2023-06-01,129,19.9
2023-06-01,130,52.16
2023-06-01,131,82.29
2023-06-01,132,16.42
2023-06-01,133,99.91
2023-06-01,134,34.79
2023-06-01,135,55.97
2023-06-01,136,4.81
2023-06-01,137,46.06
2023-06-01,138,25.18
2023-06-01,139,68.99
2023-06-01,140,85.86
2023-06-01,141,60.74
2023-06-01,142,36.55
2023-06-01,143,90.24
2023-06-01,144,60.56
2023-06-01,145,67.02
2023-06-01,146,87.58
2023-06-01,147,29.87
2023-06-01,148,63.35
2023-06-01,149,0.12
2023-06-01,150,53.73
2023-06-01,151,84.52
2023-06-01,152,45.07
2023-06-01,153,17.19
2023-06-01,154,26.56
2023-06-01,155,99.27
2023-06-01,156,17.09
2023-06-01,157,20.12
2023-06-01,158,17.94
2023-06-01,159,14.98
2023-06-01,160,5.65
2023-06-01,161,24.48
2023-06-01,162,15.95
2023-06-01,163,63.51
2023-06-01,164,0.9
2023-06-01,165,51.1
2023-06-01,166,78.97
2023-06-01,167,2.22
2023-06-01,168,42.45
2023-06-01,169,53.86
2023-06-01,170,15.71
2023-06-01,171,13.9
2023-06-01,172,36.01
2023-06-01,173,98.14
2023-06-01,174,35.18
2023-06-01,175,2.37
2023-06-01,176,98.87
2023-06-01,177,44.57
2023-06-01,178,71.46
2023-06-01,179,35.41
2023-06-01,180,24.19
2023-06-01,181,66.81
2023-06-01,182,75.17
2023-06-01,183,39.3
2023-06-01,184,48.57
2023-06-01,185,88.38
2023-06-01,186,29.91
2023-06-01,187,82.33
2023-06-01,188,84.82
2023-06-01,189,97.78
2023-06-01,190,60.69
2023-06-01,191,72.03
2023-06-01,192,43.64
2023-06-01,193,35.05
2023-06-01,194,70.96
2023-06-01,195,47.85
2023-06-01,196,17.53
2023-06-01,197,32.59
2023-06-01,198,21.19
2023-06-01,199,91.12
2023-06-01,200,16.45
2023-06-01,201,77.79
