date,grid_id,IMC_daily_total
2023-06-01,0,37.21
2023-06-01,1,0.0
2023-06-01,2,22.09
2023-06-01,3,0.0
2023-06-01,4,0.0
2023-06-01,5,0.0
2023-06-01,6,0.0
2023-06-01,7,5.78
2023-06-01,8,0.0
2023-06-01,9,0.0
2023-06-01,10,13.04
2023-06-01,11,0.0
2023-06-01,12,17.28
2023-06-01,13,0.0
2023-06-01,14,24.71
2023-06-01,15,0.0
2023-06-01,16,0.0
2023-06-01,17,0.0
2023-06-01,18,0.0
2023-06-01,19,16.53
2023-06-01,20,0.0
2023-06-01,21,0.0
2023-06-01,22,0.91
2023-06-01,23,9.65
2023-06-01,24,0.0
2023-06-01,25,0.0
2023-06-01,26,28.55
2023-06-01,27,0.0
2023-06-01,28,0.0
2023-06-01,29,34.69
2023-06-01,30,0.0
2023-06-01,31,0.0
2023-06-01,32,6.12
2023-06-01,33,8.41
2023-06-01,34,18.27
2023-06-01,35,0.0
2023-06-01,36,24.98
2023-06-01,37,0.0
2023-06-01,38,10.79
2023-06-01,39,0.0
2023-06-01,40,17.37
2023-06-01,41,60.69
2023-06-01,42,0.0
2023-06-01,43,0.0
2023-06-01,44,0.0
2023-06-01,45,0.0
2023-06-01,46,0.0
2023-06-01,47,0.0
2023-06-01,48,0.0
2023-06-01,49,0.0
2023-06-01,50,0.0
2023-06-01,51,33.17
2023-06-01,52,4.88
2023-06-01,53,0.0
2023-06-01,54,0.0
2023-06-01,55,14.99
2023-06-01,56,0.0
2023-06-01,57,0.0
2023-06-01,58,23.2
2023-06-01,59,0.0
2023-06-01,60,0.0
2023-06-01,61,0.0
2023-06-01,62,0.0
2023-06-01,63,0.0
2023-06-01,64,0.0
2023-06-01,65,0.0
2023-06-01,66,0.0
2023-06-01,67,0.0
2023-06-01,68,11.28
2023-06-01,69,0.0
2023-06-01,70,0.0
2023-06-01,71,0.0
2023-06-01,72,0.0
2023-06-01,73,22.95
2023-06-01,74,0.0
2023-06-01,75,0.0
2023-06-01,76,0.0
2023-06-01,77,5.71
2023-06-01,78,0.0
2023-06-01,79,17.35
2023-06-01,80,0.0
2023-06-01,81,0.0
2023-06-01,82,0.0
2023-06-01,83,13.92
2023-06-01,84,0.0
2023-06-01,85,0.0
2023-06-01,86,0.0
2023-06-01,87,16.77
2023-06-01,88,0.0
2023-06-01,89,0.0
2023-06-01,90,19.58
2023-06-01,91,18.23
2023-06-01,92,0.0
2023-06-01,93,18.1
2023-06-01,94,0.0
2023-06-01,95,0.0
2023-06-01,96,0.0
2023-06-01,97,7.71
2023-06-01,98,0.0
2023-06-01,99,0.0
2023-06-01,100,14.31
2023-06-01,101,68.06
2023-06-01,102,0.0
2023-06-01,103,0.0
2023-06-01,104,0.0
2023-06-01,105,0.0
2023-06-01,106,0.0
2023-06-01,107,4.87
2023-06-01,108,0.0
2023-06-01,109,0.0
2023-06-01,110,11.68
2023-06-01,111,0.0
2023-06-01,112,5.04
2023-06-01,113,0.0
2023-06-01,114,0.0
2023-06-01,115,38.14
2023-06-01,116,0.0
2023-06-01,117,70.64
2023-06-01,118,0.0
2023-06-01,119,0.0
2023-06-01,120,14.02
2023-06-01,121,0.0
2023-06-01,122,0.0
2023-06-01,123,0.0
2023-06-01,124,0.0
2023-06-01,125,0.0
2023-06-01,126,0.0
2023-06-01,127,15.35
2023-06-01,128,25.71
2023-06-01,129,0.0
2023-06-01,130,9.82
2023-06-01,131,0.0
2023-06-01,132,21.15
2023-06-01,133,26.7
2023-06-01,134,32.02
2023-06-01,135,0.0
2023-06-01,136,0.0
2023-06-01,137,0.0
2023-06-01,138,19.65
2023-06-01,139,0.0
2023-06-01,140,0.0
2023-06-01,141,0.0
2023-06-01,142,37.3
2023-06-01,143,0.0
2023-06-01,144,0.0
2023-06-01,145,9.1
2023-06-01,146,0.0
2023-06-01,147,0.0
2023-06-01,148,0.0
2023-06-01,149,0.0
2023-06-01,150,0.0
2023-06-01,151,24.34
2023-06-01,152,0.0
2023-06-01,153,24.98
2023-06-01,154,0.0
2023-06-01,155,0.0
2023-06-01,156,48.25
2023-06-01,157,0.0
2023-06-01,158,0.0
2023-06-01,159,0.0
2023-06-01,160,0.0
2023-06-01,161,29.13
2023-06-01,162,0.0
2023-06-01,163,0.0
2023-06-01,164,2.09
2023-06-01,165,0.0
2023-06-01,166,16.49
2023-06-01,167,0.0
2023-06-01,168,0.0
2023-06-01,169,14.42
2023-06-01,170,0.0
2023-06-01,171,0.0
2023-06-01,172,0.0
2023-06-01,173,0.0
2023-06-01,174,17.12
2023-06-01,175,19.84
2023-06-01,176,17.85
2023-06-01,177,0.0
2023-06-01,178,11.13
2023-06-01,179,0.0
2023-06-01,180,5.38
2023-06-01,181,19.72
2023-06-01,182,33.84
2023-06-01,183,0.0
2023-06-01,184,0.0
2023-06-01,185,0.0
2023-06-01,186,0.0
2023-06-01,187,0.0
2023-06-01,188,0.0
2023-06-01,189,0.0
2023-06-01,190,9.78
2023-06-01,191,20.27
2023-06-01,192,0.0
2023-06-01,193,0.0
2023-06-01,194,0.0
2023-06-01,195,14.22
2023-06-01,196,29.63
2023-06-01,197,18.42
2023-06-01,198,0.0
2023-06-01,199,0.0
2023-06-01,200,0.0
2023-06-01,201,0.0
2023-06-01,202,0.0
2023-06-01,203,0.0
2023-06-01,204,0.0
2023-06-01,205,0.0
2023-06-01,206,18.52
2023-06-01,207,0.0
2023-06-01,208,13.08
2023-06-01,209,16.58
2023-06-01,210,42.1
2023-06-01,211,0.0
2023-06-01,212,0.0
2023-06-01,213,16.92
2023-06-01,214,0.0
2023-06-01,215,0.0
2023-06-01,216,14.44
2023-06-01,217,0.0
2023-06-01,218,38.69
2023-06-01,219,0.0
2023-06-01,220,6.71
2023-06-01,221,0.0
2023-06-01,222,0.0
2023-06-01,223,0.0
2023-06-01,224,0.0
2023-06-01,225,16.79
2023-06-01,226,0.0
2023-06-01,227,0.0
2023-06-01,228,0.0
2023-06-01,229,0.0
2023-06-01,230,19.33
2023-06-01,231,0.0
2023-06-01,232,0.0
2023-06-01,233,0.0
2023-06-01,234,0.0
2023-06-01,235,0.0
2023-06-01,236,0.0
2023-06-01,237,40.28
2023-06-01,238,38.29
2023-06-01,239,0.0
2023-06-01,240,0.0
2023-06-01,241,0.0
2023-06-01,242,11.62
2023-06-01,243,0.0
2023-06-01,244,0.0
2023-06-01,245,0.0
2023-06-01,246,8.66
2023-06-01,247,0.0
2023-06-01,248,0.0
2023-06-01,249,0.0
2023-06-01,250,0.0
2023-06-01,251,0.0
2023-06-01,252,0.0
2023-06-01,253,6.55
2023-06-01,254,0.0
2023-06-01,255,16.67
2023-06-01,256,30.46
2023-06-01,257,11.67
2023-06-01,258,14.21
2023-06-01,259,0.0
2023-06-01,260,53.24
2023-06-01,261,0.0
2023-06-01,262,25.69
2023-06-01,263,0.0
2023-06-01,264,17.81
2023-06-01,265,8.21
2023-06-01,266,0.0
2023-06-01,267,0.0
